country_num,variety_num,year,price,ratings
0,2,2014,35.0,4
0,13,2013,46.0,4
4,8,2013,42.0,4
1,9,2015,40.0,4
3,10,2010,88.0,4
0,1,2013,40.0,4
0,14,2014,25.0,4
0,81,2013,48.0,4
0,6,2013,45.0,4
0,1,2014,50.0,4
0,1,2012,48.0,4
0,6,2013,62.0,4
0,3,2011,100.0,4
0,4,2013,53.0,4
4,8,2011,55.0,4
0,4,2012,70.0,4
0,2,2014,38.0,3
0,6,2015,50.0,3
1,9,2016,11.0,3
1,5,2014,37.0,3
0,9,2016,17.0,3
1,5,2015,15.0,3
0,23,2016,26.0,3
0,1,2014,32.0,3
0,2,2016,25.0,3
0,8,2014,41.0,3
0,16,2013,36.0,3
3,3,2008,35.0,2
4,3,2009,30.0,2
0,26,2011,25.0,2
0,25,2011,25.0,2
0,66,2012,20.0,2
0,3,2010,20.0,2
5,24,2012,35.0,4
0,1,2013,75.0,4
0,1,2013,48.0,4
1,23,2011,54.0,4
1,7,2013,34.0,4
0,13,2013,48.0,4
3,61,2010,28.0,4
5,24,2010,125.0,4
1,80,2014,45.0,4
1,7,2010,36.0,4
1,18,2012,30.0,4
0,2,2014,37.0,4
0,4,2013,40.0,4
0,1,2014,50.0,4
0,4,2013,75.0,4
1,7,2014,39.0,4
1,7,2014,43.0,4
0,13,2013,30.0,4
0,1,2013,70.0,4
0,4,2012,80.0,3
2,11,2011,65.0,3
0,4,2012,65.0,3
2,92,2013,35.0,3
2,31,2013,25.0,3
3,180,2012,15.0,3
0,7,2014,26.0,3
0,8,2013,30.0,3
0,4,2013,13.0,3
0,7,2014,26.0,3
0,1,2013,44.0,3
0,4,2012,38.0,3
0,2,2012,32.0,3
2,6,2011,50.0,3
2,6,2012,35.0,3
0,4,2012,35.0,3
3,22,2011,25.0,3
0,6,2011,42.0,3
2,55,2011,45.0,3
2,3,2010,70.0,3
0,4,2012,30.0,3
0,1,2012,75.0,3
2,11,2011,53.0,3
0,2,2012,29.0,3
0,4,2011,90.0,3
0,3,2012,35.0,3
0,8,2012,50.0,3
2,3,2012,35.0,3
2,3,2010,43.0,3
0,5,2012,20.0,3
1,9,2013,65.0,3
1,9,2014,20.0,3
1,9,2014,20.0,3
1,9,2014,25.0,3
0,13,2012,38.0,3
0,12,2013,23.0,3
0,1,2013,48.0,3
0,1,2013,32.0,3
4,3,2010,28.0,3
1,9,2014,25.0,3
